"ID";"NominationYear";"Name";"Author";"PubYear";"AgeLimit";"PublishingHouse";"LitPrizeName";"Nomination";"global_id";
"Êîä";"Ãîä íîìèíèðîâàíèÿ";"Íàèìåíîâàíèå";"Àâòîð";"Ãîä èçäàíèÿ";"Âîçðàñòíîå îãðàíè÷åíèå";"Èçäàòåëüñòâî";"Íàèìåíîâàíèå ëèòåðàòóðíîé ïðåìèè";"Íîìèíàöèÿ";"global_id";
"10";"2017";"Ñîêîëèíûé ðóáåæ";"Ñåðãåé Àíàòîëüåâè÷ Ñàìñîíîâ";"2017";"18+";"Ðèïîë Êëàññèê";"Áîëüøàÿ êíèãà";"Øîðò-ëèñò";"881369641";
"11";"2017";"Ñîâðåìåííàÿ ëèòåðàòóðà íàðîäîâ Ðîññèè. Ïîýçèÿ";"";"2017";"16+";"ÎÃÈ";"Êíèãà ãîäà";"Êíèãà ãîäà";"881369685";
"12";"2017";"Íàéäè è ïîêàæè íà Ðóñè. 700 ñëîâ â ïîìîùü øêîëüíèêó";"Ñâåòëàíà Âîñêðåñåíñêàÿ";"2017";"5+";"Êëåâåð-ìåäèà-ãðóïï";"Êíèãà ãîäà";"Âìåñòå ñ êíèãîé ìû ðàñò¸ì";"881369776";
"13";"2017";"Ïåñíü òóíãóñà";"Îëåã Íèêîëàåâè÷ Åðìàêîâ";"2017";"18+";"Âðåìÿ";"ßñíàÿ ïîëÿíà";"Ñïåöèàëüíûé ïðèç Samsung";"881369857";
"14";"2017";"Çàõõîê";"Âëàäèìèð Ìåäâåäåâ";"2017";"18+";"ArsisBooks";"Ðóññêèé áóêåð";"Øîðò-ëèñò";"881370083";
"15";"2017";"Èâàí Àóñëåíäåð";"Ãåðìàí Óìàðàëèåâè÷ Ñàäóëàåâ";"2017";"18+";"ÀÑÒ";"ßñíàÿ ïîëÿíà";"Øîðò-ëèñò";"881370171";
"16";"2017";"Ñêðîìíûé ãåðîé";"Ìàðèî Âàðãàñ Ëüîñà";"2016";"18+";"Àçáóêà";"ßñíàÿ ïîëÿíà";"Èíîñòðàííàÿ ëèòåðàòóðà";"881370174";
"17";"2017";"Ñ óìà ñîéòè! Ïóòåâîäèòåëü ïî ïñèõè÷åñêèì ðàññòðîéñòâàì äëÿ æèòåëÿ áîëüøîãî ãîðîä";"Äàðüÿ Âàðëàìîâà";"2017";"18+";"Àëüïèíà Ïàáëèøåð";"Ïðîñâåòèòåëü";"Åñòåñòâåííûå è òî÷íûå íàóêè";"881370221";
"18";"2017";"Äîñòàþùåå çâåíî (â äâóõ òîìàõ). Êíèãà ïåðâàÿ. Îáåçüÿíà è âñå-âñå-âñå.";"Ñòàíèñëàâ Âëàäèìèðîâè÷ Äðîáûøåâñêèé";"2017";"18+";"Àëüïèíà Ïàáëèøåð";"Ïðîñâåòèòåëü";"Øîðò-ëèñò";"881370234";
"19";"2017";"Äîñòàþùåå çâåíî (â äâóõ òîìàõ). Êíèãà âòîðàÿ. Ëþäè.";"Äðîáûøåâñêèé Ñòàíèñëàâ Âëàäèìèðîâè÷";"2017";"18+";"Àëüïèíà Ïàáëèøåð";"Ïðîñâåòèòåëü";"Øîðò-ëèñò";"881370255";
"20";"2017";"Â èíòåðíåòå êòî-òî íåïðàâ! Íàó÷íûå èññëåäîâàíèÿ ñïîðíûõ âîïðîñîâ";"Àñÿ Êàçàíöåâà";"2016";"18+";"ÀÑÒ";"Ïðîñâåòèòåëü";"Øîðò-ëèñò";"881370262";
"21";"2017";"Êîìó íóæíà ìàòåìàòèêà? Ïîíÿòíàÿ êíèãà î òîì, êàê óñòðîåí öèôðîâîé ìèð";"Íåëëè Ëèòâàê";"2017";"18+";"Ìàíí, Èâàíîâ è Ôåðáåð";"Ïðîñâåòèòåëü";"Øîðò-ëèñò";"881370270";
